State	Population (2000)	Number of Area Codes	
Alabama	4,461,130	3	
Alaska	628,933	1	
Arizona	5,140,683	2	
Arkansas	2,679,733	2	
California	33,930,798	16	
Colorado	4,311,882	3	
Connecticut	3,409,535	2	
Delaware	785,068	1	
Florida	16,028,890	9	
Georgia	8,206,975	5	
Hawaii	1,216,642	1	
Idaho	1,297,274	1	
Illinois	12,439,042	9	
Indiana	6,090,782	4	
Iowa	2,931,923	3	
Kansas	2,693,824	3	
Kentucky	4,049,431	2	
Louisiana	4,480,271	2	
Maine	1,277,731	1	
Maryland	5,307,886	4	
Massachusetts	6,355,568	5	
Michigan	9,955,829	7	
Minnesota	4,925,670	5	
Mississippi	2,852,927	2	
Missouri	5,606,260	4	
Montana	905,316	1	
Nebraska	1,715,369	2	
Nevada	2,002,032	1	
New Hampshire	1,238,415	1	
New Jersey	8,424,354	5	
New Mexico	1,823,821	1	
New York	19,004,973	8	
North Carolina	8,067,673	3	
North Dakota	643,756	1	
Ohio	11,374,540	7	
Oklahoma	3,458,819	3	
Oregon	3,428,543	2	
Pennsylvania	12,300,670	6	
Rhode Island	1,049,662	1	
South Carolina	4,025,061	3	
South Dakota	756,874	1	
Tennessee	5,700,037	3	
Texas	20,903,994	12	
Utah	2,236,714	2	
Vermont	609,890	1	
Virginia	7,100,702	4	
Washington	5,908,684	5	
West Virginia	1,813,077	1	
Wisconson	5,371,210	4	
Wyoming	495,304	1	
