Year	Actress	Movie	Birthday	Age
2010	Natalie Portman	Black Swan	06.09.81	29
2009	Sandra Bullock	The Blind Side	07.26.64	45
2008	Kate Winslet	The Reader	10.05.75	33
2007	Marion Cotillard	La Vie En Rose	09.30.75	32
2006	Helen Mirren	The Queen	07.26.45	61
2005	Reese Witherspoon	Walk the Line	03.22.76	29
2004	Hilary Swank	Million Dollar Baby	07.30.74	30
2003	Charlize Theron	Monster	08.07.75	28
2002	Nicole Kidman	The Hours	06.20.67	35
2001	Halle Berry	Monster's Ball	08.14.66	35
2000	Julia Roberts	Erin Brockovitch	10.28.67	33
1999	Hilary Swank	Boys Don't Cry	07.30.74	25
1998	Gwyneth Paltrow	Shakespeare In Love	09.28.72	26
1997	Helen Hunt	As Good As It Gets	06.15.63	34
1996	Frances McDormand	Fargo	06.23.57	39
1995	Susan Sarandon	Dead Man Walking	10.04.46	49
1994	Jessica Lange	Blue Sky	04.20.49	45
1993	Holly Hunter	The Piano	03.20.58	35
1992	Emma Thompson	Howards End	04.15.59	33
1991	Jodie Foster	The Silence of the Lambs	11.19.62	29
1990	Kathy Bates	Misery	06.28.48	42
1989	Jessica Tandy	Driving Miss Daisy	06.07.09	80
1988	Jodie Foster	The Accused	11.19.62	26
1987	Cher	Moonstruck	05.20.46	41
1986	Marlee Matlin	Children of a Lesser God	08.24.65	21
1985	Geraldine Page	The Trip To Bountiful	11.22.24	61
1984	Sally Field	Places in the Heart	11.06.46	38
1983	Shirley MacLaine	Terms of Endearment	04.24.34	49
1982	Meryl Streep	Sophie's Choice	06.22.49	33
1981	Katharine Hepburn	On Golden Pond	05.12.07	74
1980	Sissy Spacek	Coal Miner's Daughter	12.25.49	31
1979	Sally Field	Norma Rae	11.06.46	33
1978	Jane Fonda	Coming Home	12.21.37	41
1977	Diane Keaton	Annie Hall	01.05.46	31
1976	Faye Dunaway	Network	01.14.41	35
1975	Louise Fletcher	One Flew Over the Cookoo's Nest	07.22.34	41
1974	Ellen Burstyn	Alice Doesn't Live Here Anymore	12.07.32	42
1973	Glenda Jackson	A Touch of Class	05.09.36	37
1972	Liza Minnelli	Cabaret	03.12.46	26
1971	Jane Fonda	Klute	12.21.37	34
1970	Glenda Jackson	Women In Love	05.09.36	34
1969	Maggie Smith	The Prime of Miss Jean Brodie	12.28.34	35
1968	Katharine Hepburn	The Lion In Winter	05.12.07	61
1968	Barbra Streisand	Funny Girl	04.24.42	26
1967	Katharine Hepburn	Guess Who's Coming To Dinner	05.12.07	60
1966	Elizabeth Taylor	Who's Afraid of Virginia Woolf? 	02.27.32	34
1965	Julie Christie	Darling	04.14.41	24
1964	Julie Andrews	Mary Poppins	10.01.35	29
1963	Patricia Neal	Hud	01.20.26	37
1962	Anne Bancroft	The Miracle Worker	09.17.31	31
1961	Sophia Loren	Two Women	09.20.34	27
1960	Elizabeth Taylor	Butterfield 8	02.27.32	28
1959	Simone Signoret	Room at the Top	03.25.21	38
1958	Susan Hayward	I Want To Live!	06.30.18	40
1957	Joanne Woodward	The Three Faces of Eve	02.27.30	27
1956	Ingrid Bergman	Anastasia	08.29.15	41
1955	Anna Magnani	The Rose Tattoo	03.07.08	47
1954	Grace Kelly	The Country Girl	11.12.29	25
1953	Audrey Hepburn	Roman Holiday	05.04.29	24
1952	Shirley Booth	Come Back, Little Sheba	08.30.98	54
1951	Vivien Leigh	A Streetcar Named Desire	11.05.13	38
1950	Judy Holliday	Born Yesterday	06.21.21	29
1949	Olivia de Havilland	The Heiress	07.01.16	33
1948	Jane Wyman	Johnny Belinda	01.04.14	34
1947	Loretta Young	The Farmer's Daughter	01.06.13	34
1946	Olivia de Havilland	To Each His Own	07.01.16	30
1945	Joan Crawford	Mildred Pierce	03.23.04	41
1944	Ingrid Bergman	Gaslight	08.29.15	29
1943	Jennifer Jones	The Song of Bernadette	03.02.19	24
1942	Greer Garson	Mrs. Miniver	09.29.04	38
1941	Joan Fontaine	Suspicion	10.22.17	24
1940	Ginger Rogers	Kitty Foyle	07.16.11	29
1939	Vivien Leigh	Gone with the Wind	11.05.13	26
1938	Bette Davis	Jezebel	04.05.08	30
1937	Luise Rainer	The Good Earth	01.12.10	27
1936	Luise Rainer	The Great Ziegfield	01.12.10	26
1935	Bette Davis	Dangerous	04.05.08	27
1934	Claudette Colbert	It Happened One Night	09.13.03	31
1933	Katharine Hepburn	Morning Glory	05.12.07	26
1932	Helen Hayes	The Sin of Madelon Claudet	10.10.00	32
1931	Marie Dressler	Min and Bill	11.09.68	63
1930	Norma Shearer	The Divorcee	08.10.02	28
1929	Mary Pickford	Coquette	04.08.92	37
1928	Janet Gaynor	7th Heaven, Street Angle and Sunrise	10.06.06	22
