Year	Watercraft Collisions	Flood gate/Canal lock	Other Human	Perinatal	Cold Stress	Natural	Undetermined	Total
1974	3	0	2	0	0	0	2	7
1975	6	1	1	7	0	1	13	29
1976	10	4	0	14	0	2	32	62
1977	13	6	5	9	0	1	80	114
1978	21	9	1	10	0	3	40	84
1979	24	8	9	9	0	4	23	77
1980	16	8	2	13	0	5	19	63
1981	24	2	4	13	0	9	64	116
1982	20	3	1	14	0	41	35	114
1983	15	7	5	18	0	6	30	81
1984	34	3	1	25	0	24	41	128
1985	33	3	3	23	0	19	38	119
1986	33	3	1	27	12	1	45	122
1987	39	5	2	30	6	10	22	114
1988	43	7	4	30	9	15	25	133
1989	50	3	5	38	14	18	40	168
1990	47	3	4	44	46	21	41	206
1991	53	9	6	53	1	13	39	174
1992	38	5	6	48	0	20	46	163
1993	35	5	6	39	2	22	36	145
1994	49	16	5	46	4	33	40	193
1995	42	8	5	56	0	35	55	201
1996	60	10	0	61	17	101	166	415
1997	54	8	8	61	4	42	65	242
1998	66	9	6	53	9	12	76	231
1999	82	15	8	53	5	37	69	269
2000	78	8	8	58	14	37	69	272
2001	81	1	8	62	31	34	108	325
2002	95	5	9	53	17	59	67	305
2003	73	3	7	72	45	102	78	380
2004	69	3	4	72	49	25	54	276
