A	B	C	D	E	F	G	H	I	J	K	L	M	
5,530	5,520	5,500	5,490	5,460	5,430	5,410	5,420	5,410	5,370	5,330	5,290	5,240	
5,510	5,510	5,500	5,480	5,470	5,450	5,440	5,500	5,480	5,390	5,340	5,290	5,260	
5,530	5,530	5,510	5,500	5,490	5,480	5,490	5,540	5,470	5,370	5,330	5,290	5,260	
5,550	5,550	5,540	5,520	5,510	5,500	5,490	5,500	5,430	5,390	5,340	5,300	5,270	
5,580	5,580	5,590	5,550	5,520	5,510	5,500	5,470	5,430	5,400	5,360	5,320	5,270	
5,600	5,590	5,580	5,560	5,540	5,530	5,500	5,480	5,440	5,400	5,360	5,320	5,280	
5,630	5,600	5,580	5,560	5,550	5,530	5,510	5,530	5,450	5,390	5,360	5,330	5,300	
5,670	5,630	5,590	5,570	5,550	5,520	5,490	5,470	5,440	5,390	5,370	5,340	5,310	
5,680	5,640	5,610	5,590	5,550	5,520	5,500	5,470	5,440	5,410	5,380	5,350	5,320	
5,670	5,640	5,640	5,610	5,560	5,530	5,500	5,480	5,450	5,430	5,400	5,360	5,340	
5,680	5,660	5,660	5,610	5,600	5,560	5,530	5,500	5,480	5,440	5,410	5,390	5,370	
